appid,app_name,genres,steamspy_tags
1501750,Lords of the Fallen,"['Action', 'Adventure', 'RPG']",Action;Adventure;RPG
976310,Mortal Kombat 11,['Action'],
2131680,METAL GEAR & METAL GEAR 2: Solid Snake,['Action'],Action
933110,Age of Empires III: Definitive Edition,"['Strategy', 'Free To Play']",Strategy;Free To Play
570,Dota 2,"['Action', 'Strategy', 'Free To Play']",Action;Strategy;Free To Play
1167630,Teardown,"['Action', 'Indie', 'Simulation', 'Strategy']",Action;Indie;Simulation;Strategy
386180,Crossout,"['Action', 'Adventure', 'Massively Multiplayer', 'Racing', 'Free To Play']",Action;Adventure;Massively Multiplayer;Racing;Free To Play
1659040,HITMAN World of Assassination,"['Action', 'Adventure']",Action;Adventure
1196590,Resident Evil Village,['Action'],Action
356190,Middle-earth™: Shadow of War™,"['Action', 'Adventure', 'RPG']",Action;Adventure;RPG
550,Left 4 Dead 2,['Action'],Action
268910,Cuphead,"['Action', 'Indie']",Action;Indie
1337520,Risk of Rain Returns,['Action'],Action
1158310,Crusader Kings III,"['RPG', 'Simulation', 'Strategy']",RPG;Simulation;Strategy
1971870,Mortal Kombat 1,['Action'],Action
1985810,Call of Duty®: Black Ops Cold War,['Action'],Action
2000950,Call of Duty®: Modern Warfare®,['Action'],Action
588650,Dead Cells,"['Action', 'Adventure', 'Indie']",Action;Adventure;Indie
899770,Last Epoch,"['Action', 'Adventure', 'Indie', 'RPG']",Action;Adventure;Indie;RPG
526870,Satisfactory,"['Adventure', 'Indie', 'Simulation', 'Strategy']",Adventure;Indie;Simulation;Strategy
730,Counter-Strike 2,"['Action', 'Free To Play']",Action;Free To Play
1290000,PowerWash Simulator,"['Casual', 'Indie', 'Simulation']",Casual;Indie;Simulation
1716740,Starfield,['RPG'],RPG
1676840,For The King II,"['Adventure', 'Indie', 'RPG', 'Strategy']",Adventure;Indie;RPG;Strategy
620,Portal 2,"['Action', 'Adventure']",Action;Adventure
250900,The Binding of Isaac: Rebirth,['Action'],Action
1237970,Titanfall® 2,['Action'],Action
2239150,Thronefall,"['Action', 'Indie', 'Strategy']",Action;Indie;Strategy
